Track,Driver,Team,Starting Grid,Year,Target_Tier
9,0,28,14,2024,2
18,39,3,9,2023,2
2,8,7,4,2023,0
12,10,14,14,2025,2
11,8,6,9,2022,2
17,37,24,13,2022,1
23,4,12,9,2023,2
9,19,8,20,2026,2
29,11,17,2,2023,2
1,20,16,6,2019,1
20,3,12,1,2024,0
20,27,26,12,2019,1
19,37,23,15,2024,1
8,38,0,11,2022,1
34,21,17,3,2023,2
7,9,28,16,2024,2
0,27,21,3,2020,1
5,21,12,9,2025,1
3,19,7,17,2024,2
6,20,15,1,2025,0
34,24,22,3,2019,0
20,3,28,12,2025,2
18,21,12,6,2026,1
5,37,23,2,2023,0
34,20,15,2,2023,0
31,21,17,1,2020,0
17,5,26,7,2020,1
2,8,6,10,2022,2
4,37,24,2,2022,0
5,7,6,9,2023,2
26,26,28,18,2021,2
13,38,17,2,2019,0
7,11,28,17,2021,2
28,26,28,18,2022,2
9,12,14,16,2024,2
24,3,16,7,2020,1
16,3,12,4,2024,1
32,4,12,3,2021,1
26,36,12,14,2020,2
19,8,7,16,2024,2
2,37,11,18,2026,2
22,29,3,12,2023,2
7,27,26,13,2019,2
3,20,16,5,2019,1
20,7,6,10,2022,1
29,31,15,3,2025,1
16,27,26,11,2019,2
16,27,14,18,2025,2
1,38,0,18,2023,2
17,7,6,15,2024,2
8,5,26,4,2019,1
11,32,6,15,2024,2
24,16,13,19,2020,2
7,21,17,2,2022,0
1,8,7,7,2023,1
16,7,6,19,2024,2
26,38,17,4,2019,0
23,37,22,20,2021,1
32,5,15,20,2021,2
25,25,13,19,2021,2
5,1,1,16,2020,2
8,4,12,3,2019,0
1,20,15,3,2021,1
17,37,21,4,2020,1
29,4,12,1,2019,0
22,4,12,1,2021,2
20,23,28,19,2023,2
23,39,2,14,2021,2
4,19,21,13,2019,1
13,1,1,13,2021,2
24,18,1,15,2021,2
17,32,4,5,2022,1
3,24,22,2,2020,2
3,3,16,8,2020,1
5,26,28,20,2020,2
7,21,12,13,2025,2
29,39,4,10,2022,2
6,0,28,15,2023,2
25,4,12,10,2025,1
8,11,17,4,2023,2
6,12,14,19,2024,2
22,39,2,16,2021,2
11,11,28,13,2020,2
1,16,13,17,2023,2
19,32,6,4,2023,2
28,21,12,7,2025,1
13,4,12,7,2021,2
34,0,28,18,2025,2
30,39,18,17,2024,2
21,31,15,6,2024,2
5,22,19,17,2025,2
9,21,17,18,2024,1
22,20,15,5,2021,0
15,6,2,19,2020,2
8,29,3,17,2023,2
30,38,17,3,2021,0
13,21,17,1,2019,0
18,8,6,7,2022,1
6,37,21,7,2019,1
22,20,15,10,2023,1
26,11,28,17,2019,2
1,24,24,1,2022,0
29,9,6,16,2025,2
8,38,17,6,2019,1
28,15,6,17,2025,2
21,27,13,9,2024,2
5,0,28,15,2023,1
7,32,4,10,2022,2
8,21,17,3,2023,0
28,4,12,2,2022,0
20,11,28,16,2021,2
29,37,23,13,2024,1
28,27,7,17,2022,2
29,35,13,17,2019,2
25,31,15,1,2025,0
28,23,28,19,2024,2
3,8,7,15,2024,2
10,18,1,19,2020,2
27,0,22,12,2020,1
23,4,12,5,2021,1
17,39,4,20,2022,2
30,0,22,6,2020,1
25,31,15,4,2024,0
9,9,5,12,2026,1
3,12,14,20,2024,2
6,23,28,18,2023,2
22,32,6,7,2023,1
9,17,17,1,2026,0
